Full Date,IsCanceled
2015-07-05,49
2015-07-12,48
2015-07-19,90
2015-07-26,74
2015-08-02,97
2015-08-09,73
2015-08-16,103
2015-08-23,65
2015-08-30,80
2015-09-06,155
2015-09-13,72
2015-09-20,182
2015-09-27,122
2015-10-04,129
2015-10-11,161
2015-10-18,17
2015-10-25,88
2015-11-01,50
2015-11-08,43
2015-11-15,52
2015-11-22,60
2015-11-29,19
2015-12-06,141
2015-12-13,10
2015-12-20,45
2015-12-27,76
2016-01-03,74
2016-01-10,40
2016-01-17,14
2016-01-24,12
2016-01-31,16
2016-02-07,86
2016-02-14,155
2016-02-21,28
2016-02-28,135
2016-03-06,82
2016-03-13,52
2016-03-20,73
2016-03-27,119
2016-04-03,56
2016-04-10,84
2016-04-17,95
2016-04-24,142
2016-05-01,199
2016-05-08,86
2016-05-15,162
2016-05-22,112
2016-05-29,86
2016-06-05,104
2016-06-12,101
2016-06-19,82
2016-06-26,76
2016-07-03,80
2016-07-10,69
2016-07-17,133
2016-07-24,116
2016-07-31,96
2016-08-07,131
2016-08-14,146
2016-08-21,138
2016-08-28,124
2016-09-04,104
2016-09-11,132
2016-09-18,53
2016-09-25,127
2016-10-02,109
2016-10-09,151
2016-10-16,77
2016-10-23,161
2016-10-30,136
2016-11-06,107
2016-11-13,62
2016-11-20,41
2016-11-27,61
2016-12-04,71
2016-12-11,59
2016-12-18,37
2016-12-25,82
2017-01-01,103
2017-01-08,49
2017-01-15,38
2017-01-22,46
2017-01-29,51
2017-02-05,51
2017-02-12,95
2017-02-19,105
2017-02-26,117
2017-03-05,101
2017-03-12,104
2017-03-19,81
2017-03-26,51
2017-04-02,105
2017-04-09,144
2017-04-16,163
2017-04-23,86
2017-04-30,128
2017-05-07,146
2017-05-14,110
2017-05-21,82
2017-05-28,144
2017-06-04,183
2017-06-11,129
2017-06-18,156
2017-06-25,137
2017-07-02,150
2017-07-09,122
2017-07-16,146
2017-07-23,146
2017-07-30,156
2017-08-06,188
2017-08-13,130
2017-08-20,183
2017-08-27,142
2017-09-03,79
